x,y
-1.38370, -3.45919
-0.90191, -3.85720
-0.71959, -3.23723
0.13074, -2.17413
0.47468, -2.96152
0.59016, -4.40212
0.72450, -3.83752
0.93947, -3.14722
0.99210, -6.32836
1.04707, -3.37518
1.04786, -4.78587
1.11071, -4.52748
1.23730, -4.43098
1.24043, -3.83971
1.40006, -4.89542
1.43845, -4.44328
1.49358, -5.28706
1.50702, -1.72227
1.55833, -5.30600
1.67023, -4.46953
1.69728, -4.85243
1.71692, -4.95209
1.74623, -5.25762
1.78440, -4.69915
1.82431, -2.90132
1.88084, -4.81870
2.00681, -4.43098
2.04036, -3.75770
2.07034, -5.29707
2.13809, -4.48265
2.14439, -3.32716
2.19574, -4.86892
2.24824, -2.34301
2.25262, -4.88612
2.47308, -3.69720
2.63151, -6.25155
2.63430, -3.43607
2.85838, -1.88612
2.94625, -4.67454
3.41786, -3.87907
3.45313, -4.01450
4.01816, -6.56345
4.02340, -4.90581
-0.14105, -5.33214
-0.12384, -5.13373
0.12818, -3.41746
3.16164, -3.90357
3.37361, -4.09206
0.63230, -4.20119
2.53371, -2.93135
